fl_iter,main_task_acc,backdoor_task_acc,the chosen ones
1,0.0,0.0,none
2,0.0,0.0,none
3,0.0,0.0,none
4,0.0,0.0,none
5,0.0,0.0,none
6,0.0,0.0,none
7,0.0,0.0,none
8,0.0,0.0,none
9,0.0,0.0,none
10,0.0,0.0,none
11,0.0,0.0,none
12,0.0,0.0,none
13,0.0,0.0,none
14,0.0,0.0,none
15,0.0,0.0,none
16,0.0,0.0,none
17,0.0,0.0,none
18,0.0,0.0,none
19,0.0,0.0,none
20,0.0,0.0,none
21,0.0,0.0,none
22,0.0,0.0,none
23,0.0,0.0,none
24,0.0,0.0,none
25,0.0,0.0,none
26,0.0,0.0,none
27,0.0,0.0,none
28,0.0,0.0,none
29,0.0,0.0,none
30,0.0,0.0,none
31,0.0,0.0,none
32,0.0,0.0,none
33,0.0,0.0,none
34,0.0,0.0,none
35,0.0,0.0,none
36,0.0,0.0,none
37,0.0,0.0,none
38,0.0,0.0,none
39,0.0,0.0,none
40,0.0,0.0,none
41,0.0,0.0,none
42,0.0,0.0,none
43,0.0,0.0,none
44,0.0,0.0,none
45,0.0,0.0,none
46,0.0,0.0,none
47,0.0,0.0,none
48,0.0,0.0,none
49,0.0,0.0,none
50,0.0,0.0,none
51,0.0,0.0,none
52,0.0,0.0,none
53,0.0,0.0,none
54,0.0,0.0,none
55,0.0,0.0,none
56,0.0,0.0,none
57,0.0,0.0,none
58,0.0,0.0,none
59,0.0,0.0,none
60,0.0,0.0,none
61,0.0,0.0,none
62,0.0,0.0,none
63,0.0,0.0,none
64,0.0,0.0,none
65,0.0,0.0,none
66,0.0,0.0,none
67,0.0,0.0,none
68,0.0,0.0,none
69,0.0,0.0,none
70,0.0,0.0,none
71,0.0,0.0,none
72,0.0,0.0,none
73,0.0,0.0,none
74,0.0,0.0,none
75,0.0,0.0,none
76,0.0,0.0,none
77,0.0,0.0,none
78,0.0,0.0,none
79,0.0,0.0,none
80,0.0,0.0,none
81,0.0,0.0,none
82,0.0,0.0,none
83,0.0,0.0,none
84,0.0,0.0,none
85,0.0,0.0,none
86,0.0,0.0,none
87,0.0,0.0,none
88,0.0,0.0,none
89,0.0,0.0,none
90,0.0,0.0,none
91,0.0,0.0,none
92,0.0,0.0,none
93,0.0,0.0,none
94,0.0,0.0,none
95,0.0,0.0,none
96,0.0,0.0,none
97,0.0,0.0,none
98,0.0,0.0,none
99,0.0,0.0,none
100,0.4686133333333331,0.007941666666666665,none
101,0.0,0.0,none
102,0.0,0.0,none
103,0.0,0.0,none
104,0.0,0.0,none
105,0.0,0.0,none
106,0.0,0.0,none
107,0.0,0.0,none
108,0.0,0.0,none
109,0.0,0.0,none
110,0.0,0.0,none
111,0.0,0.0,none
112,0.0,0.0,none
113,0.0,0.0,none
114,0.0,0.0,none
115,0.0,0.0,none
116,0.0,0.0,none
117,0.0,0.0,none
118,0.0,0.0,none
119,0.0,0.0,none
120,0.0,0.0,none
121,0.0,0.0,none
122,0.0,0.0,none
123,0.0,0.0,none
124,0.0,0.0,none
125,0.0,0.0,none
126,0.0,0.0,none
127,0.0,0.0,none
128,0.0,0.0,none
129,0.0,0.0,none
130,0.0,0.0,none
131,0.0,0.0,none
132,0.0,0.0,none
133,0.0,0.0,none
134,0.0,0.0,none
135,0.0,0.0,none
136,0.0,0.0,none
137,0.0,0.0,none
138,0.0,0.0,none
139,0.0,0.0,none
140,0.0,0.0,none
141,0.0,0.0,none
142,0.0,0.0,none
143,0.0,0.0,none
144,0.0,0.0,none
145,0.0,0.0,none
146,0.0,0.0,none
147,0.0,0.0,none
148,0.0,0.0,none
149,0.0,0.0,none
150,0.0,0.0,none
151,0.0,0.0,none
152,0.0,0.0,none
153,0.0,0.0,none
154,0.0,0.0,none
155,0.0,0.0,none
156,0.0,0.0,none
157,0.0,0.0,none
158,0.0,0.0,none
159,0.0,0.0,none
160,0.0,0.0,none
161,0.0,0.0,none
162,0.0,0.0,none
163,0.0,0.0,none
164,0.0,0.0,none
165,0.0,0.0,none
166,0.0,0.0,none
167,0.0,0.0,none
168,0.0,0.0,none
169,0.0,0.0,none
170,0.0,0.0,none
171,0.0,0.0,none
172,0.0,0.0,none
173,0.0,0.0,none
174,0.0,0.0,none
175,0.0,0.0,none
176,0.0,0.0,none
177,0.0,0.0,none
178,0.0,0.0,none
179,0.0,0.0,none
180,0.0,0.0,none
181,0.0,0.0,none
182,0.0,0.0,none
183,0.0,0.0,none
184,0.0,0.0,none
185,0.0,0.0,none
186,0.0,0.0,none
187,0.0,0.0,none
188,0.0,0.0,none
189,0.0,0.0,none
190,0.0,0.0,none
191,0.0,0.0,none
192,0.0,0.0,none
193,0.0,0.0,none
194,0.0,0.0,none
195,0.0,0.0,none
196,0.0,0.0,none
197,0.0,0.0,none
198,0.0,0.0,none
199,0.0,0.0,none
200,0.46703833333333317,0.008801666666666664,none
